COMPROBANTE	SERIE_COMPROBANTE	RUC_EMISOR	RAZON_SOCIAL_EMISOR	FECHA_EMISION	FECHA_AUTORIZACION	TIPO_EMISION	NUMERO_DOCUMENTO_MODIFICADO	IDENTIFICACION_RECEPTOR	CLAVE_ACCESO	NUMERO_AUTORIZACION	IMPORTE_TOTAL
Comprobante de Retención	001-001-000000138	1792379881001	COMPAÑIA DE TRANSPORTE DE CARGA VILLARROEL & VILLARROEL CIA. LTDA.	03/08/2023	03/08/2023 15:23:16	NORMAL	17868939482	1792680778001	0308202307179237988100120010010000001389684259018	0308202307179237988100120010010000001389684259018	
Comprobante de Retención	101-006-000092616	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	04/08/2023	04/08/2023 18:13:06	NORMAL	17881063072	1792680778001	0408202307099001751400121010060000926160000000017	0408202307099001751400121010060000926160000000017	
Comprobante de Retención	101-006-000092632	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	05/08/2023	05/08/2023 18:15:02	NORMAL	17888437345	1792680778001	0508202307099001751400121010060000926320000000019	0508202307099001751400121010060000926320000000019	
Factura	001-002-000321080	1791407016001	GASOLINERA MADRID MEJIA S.A.	07/08/2023	07/08/2023 11:59:47	NORMAL		1792680778001	0708202301179140701600120010020003210801234567810	0708202301179140701600120010020003210801234567810	17
Factura	001-001-000369408	0991259546001	CARRO SEGURO CARSEG S.A.	09/08/2023	09/08/2023 12:27:55	NORMAL		1792680778001	0908202301099125954600120010010003694080036940813	0908202301099125954600120010010003694080036940813	50.4
Comprobante de Retención	101-006-000092725	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	10/08/2023	12/08/2023 06:32:03	NORMAL	17944343645	1792680778001	1008202307099001751400121010060000927250000000015	1008202307099001751400121010060000927250000000015	
Comprobante de Retención	101-006-000092727	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	10/08/2023	12/08/2023 06:32:03	NORMAL	17944343659	1792680778001	1008202307099001751400121010060000927270000000016	1008202307099001751400121010060000927270000000016	
Comprobante de Retención	101-006-000092753	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	14/08/2023	15/08/2023 10:12:00	NORMAL	17968716222	1792680778001	1408202307099001751400121010060000927530000000016	1408202307099001751400121010060000927530000000016	
Comprobante de Retención	101-006-000092830	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	17/08/2023	17/08/2023 18:13:01	NORMAL	17992252350	1792680778001	1708202307099001751400121010060000928300000000018	1708202307099001751400121010060000928300000000018	
Comprobante de Retención	101-006-000092784	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	17/08/2023	17/08/2023 18:13:07	NORMAL	17992253412	1792680778001	1708202307099001751400121010060000927840000000019	1708202307099001751400121010060000927840000000019	
Comprobante de Retención	001-001-000013733	1792282411001	TRANSCORMOGAL S A	18/08/2023	24/08/2023 16:13:29	NORMAL	18051355884	1792680778001	1808202307179228241100120010010000137330019237418	1808202307179228241100120010010000137330019237418	
Comprobante de Retención	001-001-000016118	1792644305001	COMPAÑIA DE TRANSPORTES MORA&CASTRO TRANSMORACASTRO C.A.	24/08/2023	28/08/2023 16:47:01	NORMAL	18081934996	1792680778001	2408202307179264430500120010010000161184263959912	2408202307179264430500120010010000161184263959912	
Comprobante de Retención	101-006-000092878	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	24/08/2023	24/08/2023 18:12:11	NORMAL	18052434337	1792680778001	2408202307099001751400121010060000928780000000011	2408202307099001751400121010060000928780000000011	
Comprobante de Retención	101-006-000092980	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	29/08/2023	29/08/2023 18:13:04	NORMAL	18092182929	1792680778001	2908202307099001751400121010060000929800000000017	2908202307099001751400121010060000929800000000017	
