COMPROBANTE	SERIE_COMPROBANTE	RUC_EMISOR	RAZON_SOCIAL_EMISOR	FECHA_EMISION	FECHA_AUTORIZACION	TIPO_EMISION	NUMERO_DOCUMENTO_MODIFICADO	IDENTIFICACION_RECEPTOR	CLAVE_ACCESO	NUMERO_AUTORIZACION	IMPORTE_TOTAL
Comprobante de Retención	001-001-000000123	1792379881001	COMPAÑIA DE TRANSPORTE DE CARGA VILLARROEL & VILLARROEL CIA. LTDA.	03/07/2023	04/07/2023 10:28:46	NORMAL	17602515317	1792680778001	0307202307179237988100120010010000001237255493117	0307202307179237988100120010010000001237255493117	
Factura	102-001-000026691	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	10/07/2023	11/07/2023 05:39:53	NORMAL		1792680778001	1007202301099001751400121020010000266910000000013	1007202301099001751400121020010000266910000000013	3396.24
Factura	102-001-000026692	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	10/07/2023	11/07/2023 05:39:53	NORMAL		1792680778001	1007202301099001751400121020010000266920000000019	1007202301099001751400121020010000266920000000019	3467.55
Factura	102-001-000026690	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	10/07/2023	11/07/2023 05:39:53	NORMAL		1792680778001	1007202301099001751400121020010000266900000000018	1007202301099001751400121020010000266900000000018	2059.97
Notas de Crédito	102-005-000000528	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	10/07/2023	11/07/2023 05:39:48	NORMAL	102-001-000026691	1792680778001	1007202304099001751400121020050000005280000000014	1007202304099001751400121020050000005280000000014	
Factura	001-001-000366402	0991259546001	CARRO SEGURO CARSEG S.A.	11/07/2023	11/07/2023 15:41:19	NORMAL		1792680778001	1107202301099125954600120010010003664020036640211	1107202301099125954600120010010003664020036640211	50.4
Comprobante de Retención	101-006-000092287	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	14/07/2023	14/07/2023 18:11:38	NORMAL	17698264973	1792680778001	1407202307099001751400121010060000922870000000017	1407202307099001751400121010060000922870000000017	
Comprobante de Retención	101-006-000092434	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	21/07/2023	21/07/2023 18:12:04	NORMAL	17757522035	1792680778001	2107202307099001751400121010060000924340000000015	2107202307099001751400121010060000924340000000015	
Comprobante de Retención	101-006-000092420	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	21/07/2023	21/07/2023 18:12:03	NORMAL	17757521790	1792680778001	2107202307099001751400121010060000924200000000019	2107202307099001751400121010060000924200000000019	
Comprobante de Retención	101-006-000092448	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	27/07/2023	28/07/2023 10:12:03	NORMAL	17811284405	1792680778001	2707202307099001751400121010060000924480000000019	2707202307099001751400121010060000924480000000019	
Comprobante de Retención	101-006-000092468	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	28/07/2023	28/07/2023 18:14:01	NORMAL	17815432809	1792680778001	2807202307099001751400121010060000924680000000012	2807202307099001751400121010060000924680000000012	
Comprobante de Retención	101-006-000092526	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	29/07/2023	29/07/2023 18:17:05	NORMAL	17822938388	1792680778001	2907202307099001751400121010060000925260000000011	2907202307099001751400121010060000925260000000011	
Comprobante de Retención	101-006-000092555	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	29/07/2023	29/07/2023 18:17:01	NORMAL	17822937862	1792680778001	2907202307099001751400121010060000925550000000011	2907202307099001751400121010060000925550000000011	
